dance_style,dance_type,search_query,video_id,video_url,title,description,channel,published_at,view_count,like_count,comment_count,duration,num_comments_retrieved,comment_sentiment,comment_sentiment_avg_compound,comment_sentiment_comment_count
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,SA05pMQZFuw,https://www.youtube.com/watch?v=SA05pMQZFuw,FatChanceBellyDance®  Cues &amp; Tattoos 2018,FatChanceBellyDance® performed at 11th Cues & Tattoos Music by Raquy and the Cavemen Nubian / Caravan / Tip: Badass ...,FatChanceBellyDance,2018-04-12T14:57:48Z,119927,1965,34,PT8M10S,10,positive,0.9,10.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,7xSOy83sJxc,https://www.youtube.com/watch?v=7xSOy83sJxc,NAGASHAM-KA,American Tribal Style From France music : Kapela Ze Wsi Warszawa - Do ciebe Kasiuniu.,SOHALIA TRIBALE,2017-03-11T20:28:17Z,15381826,201157,4576,PT5M33S,10,positive,0.9,10.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,-3wwTJg6z1I,https://www.youtube.com/watch?v=-3wwTJg6z1I,Tribal Fusion Bellydance / FCBD Style (former ATS Bellydance) basic fast steps,"Basic bump, egyptian step (basic and with arms and turn), arabic basic, arabic hip twist, stationary shimmy step.",Mimesis- Tribal Fusion & Bellydance lab by Roberta,2022-11-20T21:42:09Z,1699,51,3,PT6M56S,2,positive,0.5,2.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,IsULEioyvOU,https://www.youtube.com/watch?v=IsULEioyvOU,TRIBAL FUSION belly dance tutorial 🕉️ LAYERING para principiantes (2 CAPAS),Si te gusta la danza oriental no te pierdas éste vídeo tutorial de tribal fusión belly dance. En ésta clase de fusion tribal tenemos un ...,unComo,2022-06-30T17:30:03Z,7175,381,11,PT6M33S,10,positive,1.0,30.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,_Ne4v9xW-So,https://www.youtube.com/watch?v=_Ne4v9xW-So,The Overshimmy: Belly Dance Tutorial with Rachel Brice,"The Overshimmy is an awesome shimmy for traveling, and combines two other belly dance moves: the Maya and the 3/4 Shimmy!",Datura Online,2019-12-07T15:00:13Z,78590,2893,26,PT4M22S,10,positive,0.9,20.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,XWDRdJ6O4cY,https://www.youtube.com/watch?v=XWDRdJ6O4cY,Habibi Lal (Kira Lebedeva) @ TRIBAL BEAT FEST 2016,,Kira Lebedeva,2016-05-23T14:45:40Z,7911894,132055,3424,PT4M24S,10,positive,1.0,20.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,g6Mq2TkTiPM,https://www.youtube.com/watch?v=g6Mq2TkTiPM,❤️‍🔥FAST MOVES COMBOS / ATS VOCABULARY♥️,Let's play with the fast steps of the American Tribal Style Bellydance vocabulary. I created 3 combos for you to practice at ...,Black Cat BellyDance Studio,2024-08-16T12:00:06Z,1254,62,4,PT10M36S,4,positive,1.0,4.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,wrfbBlRuqPY,https://www.youtube.com/watch?v=wrfbBlRuqPY,Lesson #7 - Belly Dance Boulevard.com - Belly Dancing Lessons,This is the seventh lesson out of a full online belly dance course from BellyDanceBoulevard.com. Watch and practice at the ...,BellyDanceB,2009-04-06T14:15:48Z,92276,285,19,PT7M54S,10,positive,1.0,10.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,lcoJd9p6NMM,https://www.youtube.com/watch?v=lcoJd9p6NMM,&quot;Call of the Amazon Warrior&quot; – Belly Dance by Irina Akulenko | WorldDanceNewYork.com,Study belly dance with Irina at https://worlddancenewyork.com/collections/beginners ✓ Watch on any device — anywhere in the ...,World Dance New York,2019-06-13T17:04:38Z,948869,28130,476,PT5M19S,10,positive,1.0,20.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,8SfAw1MTsL8,https://www.youtube.com/watch?v=8SfAw1MTsL8,Tribal Bellydance - Taxim Tutorial with Orkideh,Tutorial and tips for a foundational tribal bellydance movement: the taxim (or takseem). More info: http://www.serpentinatribal.com ...,Serpentina North Ensemble,2015-08-15T21:06:57Z,4354,76,2,PT4M48S,2,positive,1.0,2.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,8XGIRLwcw4o,https://www.youtube.com/watch?v=8XGIRLwcw4o,&quot;Justice&quot; – Sword Belly Dance by Irina Akulenko | Learn it → at WorldDanceNewYork.com,Study belly dance with Irina at https://worlddancenewyork.com/collections/beginners ✓ Watch on any device — anywhere in the ...,World Dance New York,2010-01-26T23:18:54Z,12882897,275308,4991,PT5M22S,10,positive,0.6,30.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,X9j3as36yGg,https://www.youtube.com/watch?v=X9j3as36yGg,Tribal Moon Belly Dance ATS(R) Drills and Skills - Camel Steps,"Drill classic Camel steps and Tribal Moon Temple Camel, drills and lesson sampler.",FatChance® Style with Kathy ,2012-11-22T01:06:29Z,29738,241,9,PT13M47S,9,positive,0.6667,9.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,wWL9aFwjpiY,https://www.youtube.com/watch?v=wWL9aFwjpiY,Global Fusion IG Challenge / Day 1 lesson by Olga Meos / Tribal Fusion Belly Dance class,bellydanceforbeginner #трайблурок #olgameos #bellydance #online #dancing #tribal #fusionbellydance ...,TribalPro,2022-01-22T07:55:26Z,62353,2978,100,PT19M5S,10,positive,1.0,20.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,mm4RHdpuSNs,https://www.youtube.com/watch?v=mm4RHdpuSNs,Maya hips movement. Free dance class. Tribal Fusion belly dance. By Lena Gukina. Moonlight Tribe,2025 online video courses with me ✨ обучение со мной Трайбл Фьюжн для начинающих Старт 30 июня Группа для ...,Lena Gukina Tribal Fusion dancer 💃 teacher,2024-07-31T13:15:03Z,2801,173,12,PT9M10S,10,positive,0.9,20.0
